opening_id,floor,plans,n_plans,label,type,geometry,length_cm,width_cm,diameter_cm,slab_height_cm,slab_top_m,weight_kg,pos_x_mm,pos_y_mm
U1-115,U1,0004,1,DDB60/40,Ceiling,rectangular,60,40,,28,-0.155,161.3,13717,37685
U1-116,U1,0004,1,DDB60/70,Ceiling,rectangular,60,70,,28,-0.155,282.2,14794,37685
U1-117,U1,0005,1,DDB50/20,Ceiling,rectangular,50,20,,25,-0.8,60.0,20750,41050
U1-118,U1,0005,1,DDBØ16,Ceiling,round,,,16,25,-0.8,12.1,25567,42610
U1-119,U1,0005,1,DDBØ10,Ceiling,round,,,10,25,-0.8,4.7,22654,43137
U1-120,U1,0005,1,DDBØ15,Ceiling,round,,,15,25,-0.8,10.6,23082,43264
U1-121,U1,0005,1,DDBØ15,Ceiling,round,,,15,25,-0.15,10.6,22472,46302
U1-122,U1,0005,1,DDBØ10,Ceiling,round,,,10,25,-0.15,4.7,23097,46344
U1-123,U1,0005,1,DDBØ20,Ceiling,round,,,20,25,-0.8,18.8,26796,51132
U1-124,U1,0005,1,DDBØ20,Ceiling,round,,,20,25,-0.15,18.8,26824,57742
U1-125,U1,0005,1,DDBØ10,Ceiling,round,,,10,25,-0.15,4.7,19388,63574
U1-126,U1,0005,1,DDBØ15,Ceiling,round,,,15,25,-0.8,10.6,21570,66455
U1-127,U1,0005,1,DDBØ15,Ceiling,round,,,15,25,-0.8,10.6,21134,67062
U1-128,U1,0005,1,DDBØ20,Ceiling,round,,,20,25,-0.8,18.8,27552,67316
U1-129,U1,0005,1,DDBØ20,Ceiling,round,,,20,25,-0.8,18.8,20889,67538
U1-130,U1,0005,1,DDBØ15,Ceiling,round,,,15,25,-0.8,10.6,22929,68161
U1-131,U1,0005,1,DDBØ10,Ceiling,round,,,10,25,-0.8,4.7,28771,68857
U1-132,U1,0005,1,DDBØ10,Ceiling,round,,,10,25,-0.8,4.7,26254,69575
U1-133,U1,0005,1,DDB20/50,Ceiling,rectangular,20,50,,60,-0.15,144.0,18130,72458
U1-134,U1,0005,1,DDB20/50,Ceiling,rectangular,20,50,,60,-0.15,144.0,18422,72513
U1-135,U1,0005,1,DDB35/65,Ceiling,rectangular,35,65,,60,-0.15,327.6,23140,74407
U1-136,U1,0005,1,DDBØ10,Ceiling,round,,,10,30,-0.15,5.7,16296,74441
U1-137,U1,0005,1,DDB32.5/120,Ceiling,rectangular,32.5,120,,30,-0.15,280.8,19349,75212
U1-138,U1,0006,1,DDB50/20,Ceiling,rectangular,50,20,,25,-0.15,60.0,9308,27077
U1-139,U1,0006,1,DDBØ10,Ceiling,round,,,10,30.0,-0.8,5.7,8415,34230
U1-140,U1,0006,1,DDBØ10,Ceiling,round,,,10,25,-0.15,4.7,8103,44436
U1-141,U1,0006,1,DDBØ10,Ceiling,round,,,10,25,-0.8,4.7,3245,54751
U1-142,U1,0006,1,DDBØ15,Ceiling,round,,,15,25,-0.8,10.6,7389,56504
U1-143,U1,0006,1,DDB25/55,Ceiling,rectangular,25,55,,25,-0.15,82.5,9553,57128
U1-144,U1,0006,1,DDB39/34,Ceiling,rectangular,39,34,,25,-0.15,79.6,10318,57128
U1-145,U1,0006,1,DDB6/50,Ceiling,rectangular,6,50,,90,-0.15,64.8,8876,57252
U1-146,U1,0006,1,DDB64/114,Ceiling,rectangular,64,114,,25,-0.55,437.8,19233,57953
U1-147,U1,0006,1,DDB94/164,Ceiling,rectangular,94,164,,25,-0.55,925.0,11330,58229
U1-148,U1,0006,1,DDBØ15,Ceiling,round,,,15,25,-0.55,10.6,13600,59114
U1-149,U1,0006,1,DDB10/25,Ceiling,rectangular,10,25,,25,-0.55,15.0,13342,59520
U1-150,U1,0006,1,DDBØ15,Ceiling,round,,,15,25,-0.55,10.6,15026,59765
U1-151,U1,0006,1,DDB160/30,Ceiling,rectangular,160,30,,25,-0.55,288.0,17552,59876
U1-152,U1,0006,1,DDB39/44,Ceiling,rectangular,39,44,,25,-0.55,103.0,12286,59982
U1-153,U1,0006,1,DDB54/54,Ceiling,rectangular,54,54,,25,-0.55,175.0,18058,60155
U1-154,U1,0006,1,DDB35/10,Ceiling,rectangular,35,10,,30,-0.15,25.2,18088,61229
