global_id,ifc_type,name,x_m,y_m,z_m,x_min_m,y_min_m,z_min_m,x_max_m,y_max_m,z_max_m,length_m,width_m,height_m,material,thickness_m,load_bearing,is_external,reference
11Je14my97hBHYwYXU$Rhl,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072238,44.98,23.426,6.09,38.33,23.301,4.55,51.63,23.551,7.63,13.3,0.25,3.08,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rhk,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072239,60.03,23.426,6.09,53.18,23.301,4.55,66.88,23.551,7.63,13.7,0.25,3.08,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rhn,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072240,75.08,23.426,6.09,68.43,23.301,4.55,81.73,23.551,7.63,13.3,0.25,3.08,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rhm,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072241,83.205,16.953,6.255,83.08,10.605,4.55,83.33,23.301,7.96,0.25,12.697,3.41,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rhp,IfcWallStandardCase,Basiswand:RB_W_OB_300:3072242,83.24,-1.424,8.715,83.09,-2.798,4.55,83.39,-0.049,12.88,0.3,2.75,8.33,IfcMaterialLayerSetUsage,0.3,False,False,RB_W_OB_300
11Je14my97hBHYwYXU$Rho,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072243,83.215,-3.499,8.715,83.09,-4.199,4.55,83.34,-2.798,12.88,0.25,1.4,8.33,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rhr,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072244,83.205,5.278,6.255,83.08,-0.049,4.55,83.33,10.605,7.96,0.25,10.653,3.41,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rh$,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072254,36.855,9.551,6.09,36.73,-4.199,4.55,36.98,23.301,7.63,0.25,27.5,3.08,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rh_,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072255,36.855,20.301,9.505,36.73,17.301,7.63,36.98,23.301,11.38,0.25,6.0,3.75,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Ri1,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072256,36.855,-3.349,9.505,36.73,-4.199,7.63,36.98,-2.499,11.38,0.25,1.7,3.75,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Ri0,IfcWallStandardCase,Basiswand:RB_UZ_OB_250:3072257,36.855,9.551,12.13,36.73,-4.199,11.38,36.98,23.301,12.88,0.25,27.5,1.5,IfcMaterialLayerSetUsage,0.25,False,True,RB_UZ_OB_250
11Je14my97hBHYwYXU$Ri2,IfcWallStandardCase,Basiswand:RB_UZ_OB_400:3072259,60.03,23.501,8.505,36.73,23.301,7.63,83.33,23.701,9.38,46.6,0.4,1.75,IfcMaterialLayerSetUsage,0.4,False,True,RB_UZ_OB_400
11Je14my97hBHYwYXU$RiN,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072278,83.205,5.278,10.53,83.08,-0.049,8.18,83.33,10.605,12.88,0.25,10.653,4.7,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$RiM,IfcWallStandardCase,Basiswand:RB_W_OB_DV_400_WU:3072279,83.14,3.978,-7.095,82.94,-2.798,-7.39,83.34,10.755,-6.8,0.4,13.553,0.59,IfcMaterialLayerSetUsage,0.4,False,False,RB_W_OB_DV_400_WU
11Je14my97hBHYwYXU$Ric,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072295,85.165,0.077,-5.825,83.39,-0.048,-7.39,86.941,0.203,-4.26,3.551,0.25,3.13,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rie,IfcWallStandardCase,Basiswand:RB_W_OB_300:3072297,83.24,-1.298,-5.13,83.09,-2.798,-6.0,83.39,0.203,-4.26,0.3,3.001,1.74,IfcMaterialLayerSetUsage,0.3,False,False,RB_W_OB_300
11Je14my97hBHYwYXU$Rih,IfcWallStandardCase,Basiswand:RB_W_MW_KS_240:3072298,85.261,10.245,-6.805,83.58,10.125,-7.39,86.941,10.365,-6.22,3.361,0.24,1.17,IfcMaterialLayerSetUsage,0.24,False,False,RB_W_MW_KS_240
11Je14my97hBHYwYXU$Rig,IfcWallStandardCase,Basiswand:RB_W_MW_KS_240:3072299,86.821,8.724,-6.805,86.701,7.324,-7.39,86.941,10.125,-6.22,0.24,2.8,1.17,IfcMaterialLayerSetUsage,0.24,False,False,RB_W_MW_KS_240
11Je14my97hBHYwYXU$Rij,IfcWallStandardCase,Basiswand:RB_W_MW_KS_240:3072300,83.46,8.844,-6.805,83.34,7.324,-7.39,83.58,10.365,-6.22,0.24,3.04,1.17,IfcMaterialLayerSetUsage,0.24,False,False,RB_W_MW_KS_240
11Je14my97hBHYwYXU$Rii,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072301,87.066,5.279,-1.45,86.941,-0.047,-2.95,87.191,10.605,0.05,0.25,10.652,3.0,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Ril,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072302,86.141,10.48,-1.575,85.341,10.355,-2.95,86.941,10.605,-0.2,1.6,0.25,2.75,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rik,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072303,87.066,5.279,2.3,86.941,-0.047,0.05,87.191,10.605,4.55,0.25,10.652,4.5,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rin,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072304,86.141,10.48,2.175,85.341,10.355,0.05,86.941,10.605,4.3,1.6,0.25,4.25,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
11Je14my97hBHYwYXU$Rim,IfcWallStandardCase,Basiswand:RB_W_OB_250:3072305,87.066,5.279,6.255,86.941,-0.047,4.55,87.191,10.605,7.96,0.25,10.652,3.41,IfcMaterialLayerSetUsage,0.25,False,False,RB_W_OB_250
